#           k/h    P           
   0.100000E-03   0.438310E+03
   0.102020E-03   0.446862E+03
   0.104081E-03   0.455581E+03
   0.106184E-03   0.464470E+03
   0.108329E-03   0.473532E+03
   0.110517E-03   0.482771E+03
   0.112750E-03   0.492190E+03
   0.115027E-03   0.501792E+03
   0.117351E-03   0.511582E+03
   0.119722E-03   0.521562E+03
   0.122140E-03   0.531736E+03
   0.124608E-03   0.542109E+03
   0.127125E-03   0.552684E+03
   0.129693E-03   0.563465E+03
   0.132313E-03   0.574455E+03
   0.134986E-03   0.585660E+03
   0.137713E-03   0.597082E+03
   0.140495E-03   0.608728E+03
   0.143333E-03   0.620599E+03
   0.146228E-03   0.632702E+03
   0.149182E-03   0.645040E+03
   0.152196E-03   0.657619E+03
   0.155271E-03   0.670442E+03
   0.158407E-03   0.683514E+03
   0.161607E-03   0.696841E+03
   0.164872E-03   0.710427E+03
   0.168203E-03   0.724277E+03
   0.171601E-03   0.738396E+03
   0.175067E-03   0.752790E+03
   0.178604E-03   0.767463E+03
   0.182212E-03   0.782421E+03
   0.185893E-03   0.797670E+03
   0.189648E-03   0.813215E+03
   0.193479E-03   0.829062E+03
   0.197388E-03   0.845217E+03
   0.201375E-03   0.861685E+03
   0.205443E-03   0.878472E+03
   0.209594E-03   0.895586E+03
   0.213828E-03   0.913031E+03
   0.218147E-03   0.930814E+03
   0.222554E-03   0.948942E+03
   0.227050E-03   0.967422E+03
   0.231637E-03   0.986259E+03
   0.236316E-03   0.100546E+04
   0.241090E-03   0.102504E+04
   0.245960E-03   0.104499E+04
   0.250929E-03   0.106533E+04
   0.255998E-03   0.108606E+04
   0.261170E-03   0.110719E+04
   0.266446E-03   0.112874E+04
   0.271828E-03   0.115069E+04
   0.277319E-03   0.117308E+04
   0.282922E-03   0.119589E+04
   0.288637E-03   0.121914E+04
   0.294468E-03   0.124285E+04
   0.300417E-03   0.126701E+04
   0.306485E-03   0.129163E+04
   0.312677E-03   0.131673E+04
   0.318993E-03   0.134231E+04
   0.325437E-03   0.136839E+04
   0.332012E-03   0.139497E+04
   0.338719E-03   0.142205E+04
   0.345561E-03   0.144966E+04
   0.352542E-03   0.147780E+04
   0.359664E-03   0.150648E+04
   0.366930E-03   0.153570E+04
   0.374342E-03   0.156549E+04
   0.381904E-03   0.159585E+04
   0.389619E-03   0.162678E+04
   0.397490E-03   0.165831E+04
   0.405520E-03   0.169045E+04
   0.413712E-03   0.172319E+04
   0.422070E-03   0.175656E+04
   0.430596E-03   0.179057E+04
   0.439295E-03   0.182522E+04
   0.448169E-03   0.186053E+04
   0.457222E-03   0.189651E+04
   0.466459E-03   0.193318E+04
   0.475882E-03   0.197054E+04
   0.485496E-03   0.200861E+04
   0.495303E-03   0.204740E+04
   0.505309E-03   0.208692E+04
   0.515517E-03   0.212719E+04
   0.525931E-03   0.216822E+04
   0.536556E-03   0.221003E+04
   0.547395E-03   0.225262E+04
   0.558453E-03   0.229601E+04
   0.569734E-03   0.234021E+04
   0.581244E-03   0.238524E+04
   0.592986E-03   0.243112E+04
   0.604965E-03   0.247786E+04
   0.617186E-03   0.252546E+04
   0.629654E-03   0.257396E+04
   0.642374E-03   0.262336E+04
   0.655350E-03   0.267367E+04
   0.668589E-03   0.272492E+04
   0.682096E-03   0.277712E+04
   0.695875E-03   0.283028E+04
   0.709933E-03   0.288443E+04
   0.724274E-03   0.293957E+04
   0.738906E-03   0.299573E+04
   0.753832E-03   0.305292E+04
   0.769061E-03   0.311115E+04
   0.784597E-03   0.317046E+04
   0.800447E-03   0.323084E+04
   0.816617E-03   0.329232E+04
   0.833114E-03   0.335493E+04
   0.849944E-03   0.341866E+04
   0.867114E-03   0.348355E+04
   0.884631E-03   0.354961E+04
   0.902501E-03   0.361686E+04
   0.920733E-03   0.368532E+04
   0.939333E-03   0.375500E+04
   0.958309E-03   0.382593E+04
   0.977668E-03   0.389812E+04
   0.997418E-03   0.397160E+04
   0.101757E-02   0.404637E+04
   0.103812E-02   0.412247E+04
   0.105910E-02   0.419990E+04
   0.108049E-02   0.427870E+04
   0.110232E-02   0.435887E+04
   0.112459E-02   0.444044E+04
   0.114730E-02   0.452343E+04
   0.117048E-02   0.460786E+04
   0.119413E-02   0.469373E+04
   0.121825E-02   0.478109E+04
   0.124286E-02   0.486994E+04
   0.126797E-02   0.496030E+04
   0.129358E-02   0.505220E+04
